"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7146426995241","19.1893086137101","12.2071589258764","14.6464623827536","17.2483336211491","-1.65295419561846","13.1042321741943","2.91736369330299","15.3451061443337","11.1749134270633","4.64861875358469","-1.24014775821261","5.75084758833322","6.98215053011315","10.7100533865695","14.9883995802521","15.5292370807989","14.3109511822094","12.3420762484796","16.7220014542173","1.35599929701032","9.93538241379662","17.2051786600652","17.5666010803337","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2600775619158","15.8698071842083","16.3060726101776","19.318342773059","18.5068162716268","","","","","","","","20.6443096562944","20.7986016796318","22.5090569718492","23.0967815014221","23.9911197406","23.8083391402996","22.3755160877149","18.5999578598668","21.0918562905646","21.5048696297003","18.5566255376987","17.9887850850344","18.2354115946433","16.9993167394778","17.7976300692633","17.7740193792445","17.4932811395095","18.8561399556952","18.8337412362454","21.1474989175249","20.6900432985261","20.1235482924163","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.73776944122657","","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8768162483063","26.0554613307072","33.5360055149557","41.1876533535864","43.4545835874633","41.4989702286428","38.6588586441279","27.6578736259277","36.9873385993239","37.8885498383559","37.2329984062724","31.9785711967399","29.8579651106811","24.8175549295183","24.0174901670151","23.0996694434161","25.0999238237662","32.1029953163417","28.065981548237","38.2908476584533","36.6224076835239","28.3705042293177","29.9213758978921",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.811226308299","28.4100004362066","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10984322108368","18.7617500789414","19.237036882253","8.84158523055561","20.4347153831372","19.5421402867081","29.2778299642183","32.3691913409345","29.1883840672743","29.3339744738154","31.6642389460702","31.7887846329463","30.8947035825787","25.5767185487008","18.1029506254476","17.4523346524257","21.2897276645106","21.0124747268875","19.4528062421901","19.8251459809488","17.5478244127555","19.2842860509977","19.3198339638298","20.3759178386701","20.5134893967756","17.4529323837655","17.6597903495393","21.1496264309459","21.0345962272774","21.9651231531471","22.0214633806098",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5913136295297","-2.51524110869201","","","","","","","","","","","","","","41.5996819787771","42.9854622935212","42.4319000701973","45.0115272556071","31.8894829754538","37.2162273668023","41.0381349138089","39.7873591597965","37.4179501676266","33.3466788225879","24.2854072168984","23.6541525794993","27.1763459993961","30.2990312091125","28.8390327233051","21.7120674564225","29.6903430896242","35.9429628506721","28.7651442600424","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067304709","32.5077111131019","30.1386934415596","25.2160967346455","22.9884302060225","19.8802568653612","18.3585987862388","18.5376271806435","17.6214446244036","","14.7833916560665","15.1977497346311","","13.630182377837","16.0433752309533","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154141372","13.6907954449568","15.0121353189386","19.4128951075758","17.2199371248765","15.8917417806538","15.1904974735003",
