"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15193.5209074482","","","","","","","","","",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760.803520851773","749.2441912253","728.317697820645","724.564556726347","728.043989977959","751.818749813949","760.557819871294","767.85686118728","777.367216863225","775.410785153111","771.42466742763","780.314619200888","782.496909402887","795.580323082426","822.197619379739","850.213312239543","895.294461521045","920.303486233207","913.544584621911","903.551243353299","931.367840491206","928.384491759386","945.14964153623","957.410091448431","969.499059787703","989.782792467004","988.049397775529","990.067530983616","983.748619522647","980.912314388714","926.221007411168","950.508428613727","957.561668301913","949.327671612598","945.421497480626",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096.00545885151","1145.37803909961","1148.69463323304","1163.27504817458","1193.05804415201","1217.95619619754","1268.61427771768","1347.30467873985","1347.15197650051","1428.57764518995","1509.42934551434","1572.48748674619","1706.8640797009","1695.14068129595","1731.98766915102","1720.2179973905","1605.11043188927","1455.87275145266","1249.34831117966","1255.14514633598","1265.34909002783","1343.00749188782","1306.78273225722",
"Albania","ALB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1312.41328781974","1522.87187313081","1254.74340603606","1213.15314948999","1253.38638251212","1373.93215714894","1455.3930864387","1572.29545989804","1738.62564381472","1829.8179378557","1969.24169374881","2117.35655091154","2438.4819081169","2735.22412768351","2772.60920891883","2795.99899487477","2855.51718392836","2875.74071620565","2902.37045749412","3030.08514575557","3090.92503415278","3220.90448171056","3234.62551148585","3337.68948504582","3460.23931054664","3285.1820685966","3466.51618185613","3719.78446930578","3872.10776934535","4053.01251931685",
"Andorra","AND","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2428.65225294692","2454.74112676903","2482.42198107038","2520.75719820644","2630.41590642359","2710.79114094376","2854.53415125679","3050.50335389169","3231.95223170581","3133.05605327587","3061.49575270935","3093.00900121202","3174.68617633461","3189.31696510849","3276.74893592154","3254.08236406223","3278.41772341709","3308.08567783843","3282.32086554767","3330.71221640723","3189.13469382901","3282.48992108925","3385.8147125317","3467.34504768462","3513.13178087071",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36429.9519890655","36409.628053838","35049.036039431","36966.8770386729","36034.5653102406","38673.7024301737","38678.1226346812","38628.8016773995","26131.2853000913","18543.1347661065","19903.9822360191","16839.6756062307","17532.9609241505","18724.7712211853","18055.0873607901","17734.5395724063","17667.518652888","17469.8341180654","18404.1392027698","18296.7542295336","18406.8369760608","20888.4777206158","22906.4330414726","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6116.87888674423","6401.70726807443","6041.77397967512","6296.48453158619","6778.85126022464","6932.44804328059","6716.03909226092","6596.5639458779","6149.93705312323","5211.13553090667","5578.89503805421","6047.23318871609","6427.89528361693","7059.1901423301","7642.31712689844","8113.37906478233","7594.53415710634","8355.49290092823","9041.51261019774","9048.43219865067","9285.04973669387","8789.23429905508","9015.67238921452","8859.07204717978","9146.51175823056","8867.82553663996","8265.53268626385","7224.4052811056","7887.28296832706","8606.91056124218","8671.60808018394","8275.59486264499",
